artifact_id,path,artifact_type,stage_subtask,purpose,generated_by,input_dependencies,validation_method,validation_status,sha256,required_for_stage2,notes
ART-0001,config/registry_schema.json,json,Stage 1.1,registry and model audit,Stage 1.1 audit task,local literature and frozen Stage 1 configuration,SHA256 and closure validator,validated,1e86f08155e998fd29e45e3468d9d8af7fa1435895405c9c1c788487122af6e5,yes,Frozen Stage 1 baseline; manifest intentionally excludes itself.
ART-0002,config/stage_A2_lifecycle.yaml,yaml,Stage 1.2,analytical lifecycle and radiation chain,Stage 1.2 implementation,local literature and frozen Stage 1 configuration,SHA256 and closure validator,validated,6e8be09f5ef025a01d2634b005aaa1adad5a8eb2397e421fd1c5e20f0548ec09,yes,Frozen Stage 1 baseline; manifest intentionally excludes itself.
ART-0003,docs/audit_report.md,markdown,Stage 1.1,registry and model audit,Stage 1.1 audit task,local literature and frozen Stage 1 configuration,SHA256 and closure validator,validated,143a913b3bd171f80175b2adf6d5fcdfc1752f188f33ca7a9e1631693450329b,yes,Frozen Stage 1 baseline; manifest intentionally excludes itself.
ART-0004,docs/decision_log.md,markdown,Stage 1.1,registry and model audit,Stage 1.1 audit task,local literature and frozen Stage 1 configuration,SHA256 and closure validator,validated,419ef7e839264be7126f10fe068070676221b5c43291b1c15323745b53034170,yes,Frozen Stage 1 baseline plus mandated Stage 2 reopen and Stage 3 baseline decisions; manifest intentionally excludes itself.
ART-0005,docs/equation_registry.md,markdown,Stage 1.1,registry and model audit,Stage 1.1 audit task,local literature and frozen Stage 1 configuration,SHA256 and closure validator,validated,193edabffc5ee343c165c0cdd5836a7941cb0da466d9dd1631b2124656d89852,yes,Frozen Stage 1 baseline; manifest intentionally excludes itself.
ART-0006,docs/parameter_registry.csv,csv,Stage 1.1,registry and model audit,Stage 1.1 audit task,local literature and frozen Stage 1 configuration,SHA256 and closure validator,validated,c6ec5d82f60f2ff7ec4513052224a93de84d644639e5b91b4b3d1fde1bd749b1,yes,Frozen Stage 1 baseline; manifest intentionally excludes itself.
ART-0007,docs/source_registry.csv,csv,Stage 1.1,registry and model audit,Stage 1.1 audit task,local literature and frozen Stage 1 configuration,SHA256 and closure validator,validated,365d78c6b6ee0ecf82584aadf2ddeaab3105d67a8271c3dcd49aeefeec5a6def,yes,Frozen Stage 1 sources plus the explicitly authorized Stage 3 Morrow-Lowke primary source; manifest intentionally excludes itself.
ART-0008,docs/stage1_closure_report.md,markdown,Stage 1.3,"closure, freeze, and handoff",Stage 1.3 closure task,local literature and frozen Stage 1 configuration,SHA256 and closure validator,validated,f1bd2ba162ac0bee7fe2ea6ecada13cb7028cc185636436701f57a22c051cc4e,yes,Frozen Stage 1 baseline; manifest intentionally excludes itself.
ART-0009,docs/stage1_method_summary.md,markdown,Stage 1.3,"closure, freeze, and handoff",Stage 1.3 closure task,local literature and frozen Stage 1 configuration,SHA256 and closure validator,validated,b7ef9ddfed37caed7678e28ec08c0bb0a3172db1b4fc0159ba9a0115cb35970d,yes,Frozen Stage 1 baseline; manifest intentionally excludes itself.
ART-0010,docs/stage1_release_notes.md,markdown,Stage 1.3,"closure, freeze, and handoff",Stage 1.3 closure task,local literature and frozen Stage 1 configuration,SHA256 and closure validator,validated,b81b8c08fd77daa86de4abe964cac372549a695fbfc38b4701a1ae6ae7f82b8d,yes,Frozen Stage 1 baseline; manifest intentionally excludes itself.
ART-0011,docs/stage2_entry_plan.md,markdown,Stage 1.3,"closure, freeze, and handoff",Stage 1.3 closure task,local literature and frozen Stage 1 configuration,SHA256 and closure validator,validated,98d86ef81381d10dc5bcd856ed2bbb2b0a9ba0e23a916cb5ae5cb41b49bf47dc,yes,Frozen Stage 1 baseline; manifest intentionally excludes itself.
ART-0012,docs/stage_A2_method.md,markdown,Stage 1.2,analytical lifecycle and radiation chain,Stage 1.2 implementation,local literature and frozen Stage 1 configuration,SHA256 and closure validator,validated,d3122005369ac73e943b957dca0d6e30eef00432272fc26f4ac3c9a73feafbe1,yes,Frozen Stage 1 baseline; manifest intentionally excludes itself.
ART-0013,docs/stage_A2_report.md,markdown,Stage 1.2,analytical lifecycle and radiation chain,Stage 1.2 implementation,local literature and frozen Stage 1 configuration,SHA256 and closure validator,validated,941b89a05306c2b3f5c64508fea06605764804a36cfbc4f9c0bc572bbe227acc,yes,Frozen Stage 1 baseline; manifest intentionally excludes itself.
ART-0014,docs/stage_mapping.md,markdown,Stage 1.3,"closure, freeze, and handoff",Stage 1.3 closure task,local literature and frozen Stage 1 configuration,SHA256 and closure validator,validated,14831aae0fbec9d846b436e3a647b149b972e993bcb9aa1b83f33fe1be303fb8,yes,Frozen Stage 1 baseline; manifest intentionally excludes itself.
ART-0015,docs/unknowns.md,markdown,Stage 1.1,registry and model audit,Stage 1.1 audit task,local literature and frozen Stage 1 configuration,SHA256 and closure validator,validated,6435c8991e7ac73da9360160cf78fbf21cf3b4bbfcc06d24cf8cc33beb8eddfc,yes,Frozen Stage 1 baseline; manifest intentionally excludes itself.
ART-0016,python/reproduce_stage_A2.py,python,Stage 1.2,analytical lifecycle and radiation chain,Stage 1.2 implementation,local literature and frozen Stage 1 configuration,SHA256 and closure validator,validated,b83c8708ca9914e53376439e9fd375be810047af079ecda25fc5f02c0c23fc2a,yes,Frozen Stage 1 baseline; manifest intentionally excludes itself.
